sample.no,year,date,sanctuary,status,site.new,complexity,depth,size.class,count
1,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,0,0,legal,0
2,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,2,0,legal,0
3,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,4,0,legal,0
4,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,1,0,legal,0
5,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,4,0,legal,0
6,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,2,0,legal,0
7,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,2,0,legal,0
8,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,2,0,legal,0
9,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,2,0,legal,0
10,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,1,0,legal,0
11,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,3,0,legal,0
12,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,1,0,legal,0
13,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,1,0,legal,1
14,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,2,0,legal,0
15,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,1,0,legal,0
16,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,3,0,legal,0
17,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,1,0,legal,0
18,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,2,0,legal,0
19,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,2,0,legal,0
20,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,0,0,legal,0
21,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,1,0,legal,0
22,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,1,0,legal,0
23,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,3,0,legal,0
24,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,4,0,legal,1
25,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,4,0,legal,0
26,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,4,0,legal,1
27,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,1,0,legal,0
28,2014,2014-01-26T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,2,0,legal,0
29,2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,2,0,legal,0
30,2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,2,0,legal,0
31,2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Armstrong Bay.No-take.Little Armstrong,2,0,legal,0
